Algorithm,Hyperparameter,Tuning Range,Best Value
Linear Regression,fit_intercept,Optuna Auto,True
Linear Regression,n_jobs,Optuna Auto,-1
Random Forest,n_estimators,Optuna Auto,800
Random Forest,max_depth,Optuna Auto,19
Random Forest,max_features,Optuna Auto,0.4634782384321343
Random Forest,min_samples_split,Optuna Auto,3
Random Forest,min_samples_leaf,Optuna Auto,10
Random Forest,bootstrap,Optuna Auto,False
Random Forest,random_state,Optuna Auto,123
Random Forest,n_jobs,Optuna Auto,-1
XGBoost,n_estimators,Optuna Auto,850
XGBoost,max_depth,Optuna Auto,9
XGBoost,learning_rate,Optuna Auto,0.2232377709425779
XGBoost,subsample,Optuna Auto,0.8351862915894122
XGBoost,colsample_bytree,Optuna Auto,0.7008587802880112
XGBoost,min_child_weight,Optuna Auto,7.8209652458842625
XGBoost,gamma,Optuna Auto,1.059196942574595
XGBoost,reg_alpha,Optuna Auto,8.420023170725145e-05
XGBoost,reg_lambda,Optuna Auto,0.00016367203231616864
XGBoost,random_state,Optuna Auto,123
XGBoost,n_jobs,Optuna Auto,-1
XGBoost,tree_method,Optuna Auto,hist
XGBoost,verbosity,Optuna Auto,0
LightGBM,n_estimators,Optuna Auto,550
LightGBM,learning_rate,Optuna Auto,0.0973550423392276
LightGBM,num_leaves,Optuna Auto,205
LightGBM,max_depth,Optuna Auto,23
LightGBM,min_child_samples,Optuna Auto,34
LightGBM,subsample,Optuna Auto,0.5128706903709275
LightGBM,colsample_bytree,Optuna Auto,0.9071470163566817
LightGBM,min_split_gain,Optuna Auto,0.22009945715737722
LightGBM,extra_trees,Optuna Auto,False
LightGBM,reg_alpha,Optuna Auto,1.318988071571178e-05
LightGBM,reg_lambda,Optuna Auto,0.030275222103434335
LightGBM,random_state,Optuna Auto,123
LightGBM,n_jobs,Optuna Auto,-1
LightGBM,verbose,Optuna Auto,-1
CatBoost,iterations,Optuna Auto,600
CatBoost,depth,Optuna Auto,7
CatBoost,learning_rate,Optuna Auto,0.17045575048438621
CatBoost,l2_leaf_reg,Optuna Auto,7.22003172329507
CatBoost,subsample,Optuna Auto,0.777554730031272
CatBoost,grow_policy,Optuna Auto,SymmetricTree
CatBoost,random_state,Optuna Auto,123
CatBoost,verbose,Optuna Auto,0
CatBoost,allow_writing_files,Optuna Auto,False
