Algorithm,Hyperparameter,Tuning Range,Best Value
Linear Regression,fit_intercept,Optuna Auto,True
Linear Regression,n_jobs,Optuna Auto,-1
Random Forest,n_estimators,Optuna Auto,200
Random Forest,max_depth,Optuna Auto,
Random Forest,max_features,Optuna Auto,sqrt
Random Forest,min_samples_split,Optuna Auto,6
Random Forest,min_samples_leaf,Optuna Auto,1
Random Forest,bootstrap,Optuna Auto,False
Random Forest,random_state,Optuna Auto,123
Random Forest,n_jobs,Optuna Auto,-1
XGBoost,n_estimators,Optuna Auto,1000
XGBoost,max_depth,Optuna Auto,6
XGBoost,learning_rate,Optuna Auto,0.08310970327482575
XGBoost,subsample,Optuna Auto,0.9809360823177646
XGBoost,colsample_bytree,Optuna Auto,0.6525728640634835
XGBoost,min_child_weight,Optuna Auto,6.941882324519403
XGBoost,gamma,Optuna Auto,1.9779874294781141
XGBoost,reg_alpha,Optuna Auto,0.015161588588605517
XGBoost,reg_lambda,Optuna Auto,1.1812506989750982e-07
XGBoost,random_state,Optuna Auto,123
XGBoost,n_jobs,Optuna Auto,-1
XGBoost,tree_method,Optuna Auto,hist
XGBoost,verbosity,Optuna Auto,0
LightGBM,n_estimators,Optuna Auto,1000
LightGBM,learning_rate,Optuna Auto,0.09504322670667681
LightGBM,num_leaves,Optuna Auto,74
LightGBM,max_depth,Optuna Auto,25
LightGBM,min_child_samples,Optuna Auto,12
LightGBM,subsample,Optuna Auto,0.5034990804236449
LightGBM,colsample_bytree,Optuna Auto,0.9209047946711404
LightGBM,min_split_gain,Optuna Auto,0.04266765796281491
LightGBM,extra_trees,Optuna Auto,False
LightGBM,reg_alpha,Optuna Auto,0.015813396459590248
LightGBM,reg_lambda,Optuna Auto,1.9244672832099237
LightGBM,random_state,Optuna Auto,123
LightGBM,n_jobs,Optuna Auto,-1
LightGBM,verbose,Optuna Auto,-1
CatBoost,iterations,Optuna Auto,950
CatBoost,depth,Optuna Auto,10
CatBoost,learning_rate,Optuna Auto,0.14539325480083018
CatBoost,l2_leaf_reg,Optuna Auto,1.1487381919895239
CatBoost,subsample,Optuna Auto,0.8258868116680695
CatBoost,grow_policy,Optuna Auto,Depthwise
CatBoost,random_state,Optuna Auto,123
CatBoost,verbose,Optuna Auto,0
CatBoost,allow_writing_files,Optuna Auto,False
