Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression),Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression)
학습 지향 평균,1.482745578621088,2.5881558484685816,8.725884827724691,0.0,DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.1168748785565566,0.745006385269664,0.7450063852696639,0.7450063852696639
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.6168569172530758,1.6378009528538002,6.462496102766013,0.03160788843514956,문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,-0.050651586385921585,0.4106850512920753,2.4002023013391502,1.102670051660716
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.6119528397745867,1.1224681712636895,1.9795660458015218,0.0,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-0.030529203987151268,0.4046470884661905,0.3790913473865197,0.3790913473865197
사회참여,0.10612233166848592,0.6621374509758656,0.6621374509758656,0.6621374509758656,지역규모별,-0.05403070207465664,0.38330978253801673,0.4524218240325334,-0.019284231456477355
DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.1022401631941323,0.6591579354475167,0.5344954352087654,0.5344954352087654,문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,-0.008924521705762814,0.28101436948543623,0.54441673619325,0.0
직업관련 목표지향 평균,0.31579411926839296,0.6460264800900037,2.019117332620988,0.0,DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.014232920769813959,0.27809258198496206,0.27104786558952654,0.27104786558952654
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.2616856254197577,0.6096550240892913,0.9153370665826333,0.0,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,-0.026271115861865754,0.2674877529744487,0.251275177442156,0.251275177442156
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.25795225289347434,0.5711034713881187,0.5710594806692358,0.5710594806692358,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),-0.01743055422086693,0.16732452202058723,-0.18359931135557517,-0.1279809524372808
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.13415060610490068,0.5155470071147322,1.178013843726395,0.5036795977707026,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.008838101700963592,0.16266625270933632,-0.15206044032745128,-0.0025265092100821493
문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,0.09048449829851257,0.5000464462820936,1.1715698948401507,0.0,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,-0.01099554891845849,0.15109770828536492,0.16312910394190985,0.05883348367687333
